,CAF-62T_TPM,CAF-97T_TPM,CAF_73T_TPM,CAF_98T_TPM
1,2.075954,4.152856,3.783885,2.649404
2,2.183787,19.566923,36.079094,22.210731
3,0,0,0,0
9,14.12788,10.601917,11.242336,12.818704
10,0.12387,0,0.103577,0.100214
12,3.650753,1.287795,2.13562,8.726501
13,3.573871,5.421176,10.319054,4.076331
14,72.357106,128.402417,104.624043,95.592478
15,0.108951,0,0,0.131912
16,53.843088,102.194867,104.192961,114.798244
18,2.072809,5.123997,5.582465,6.251101
19,30.734713,27.273097,64.222365,32.797261
20,6.025694,26.596948,19.045227,24.068474
21,0.406066,3.535715,3.363464,2.68224
22,10.263558,8.591768,5.977219,8.713655
23,31.364457,60.895732,57.633588,61.984779
24,0.064187,0.236034,0.315738,0.316992
25,35.749448,88.759331,94.360485,65.856185
26,0,0,0,0
27,14.514579,16.185508,23.690184,27.093908
28,0,0,0,0
29,20.96378,47.676636,47.11822,47.586856
30,43.312083,62.2806,59.250083,58.715743
31,12.764642,17.936406,19.629368,37.966543
32,3.538605,2.213463,1.536193,2.160564
33,0,0,0,0.040259
34,35.835042,26.240859,26.734094,26.983495
35,3.379155,11.019387,7.833976,6.233041
36,10.887988,10.958422,5.468767,7.406703
37,68.74578,213.105359,175.405582,173.718451
38,139.845297,90.632793,71.905067,90.607573
39,118.037825,75.95293,98.983925,259.829799
40,0.04552,0,0.079008,0.073805
41,4.215881,5.836901,4.09674,3.955698
43,0.425127,0.351325,1.379526,0.376837
47,60.942246,186.316102,234.180554,370.517773
48,34.086813,49.108039,38.040227,52.561082
49,0,0,0,0.076612
50,37.894154,86.651043,64.69895,75.991029
51,9.844231,12.968279,10.137616,12.434924
52,115.477078,78.248186,115.49578,105.093542
53,22.047345,47.358962,41.15206,38.648364
54,13.808725,13.200754,1.499551,3.932936
55,0,0.025381,0,0.256985
56,0.047144,0.040376,0,0.016877
58,0,0.212112,0.132388,0.086798
59,294.893113,2334.198605,690.842396,762.119334
60,951.359863,5901.297363,2869.930664,2984.357422
62,0.070918,0.157415,0.024985,0.083751
64,0,0,0.036069,0.026937
67,0.033209,0.117994,0.220176,0.130935
68,0.05363,0,0.043848,0
69,0,0.022478,0.070849,0
70,0,0.311952,0.486305,0.093644
71,769.518495,2887.168559,1915.951801,1840.667973
72,1.211317,15.835617,3.685104,8.626623
73,0.083424,0.128895,0.065932,0.209044
75,0.940622,0.432917,0.483308,0.623931
81,95.034117,565.844585,396.349891,347.908886
82,0,0,0,0.007571
83,0,0,0,0
86,42.877065,40.593557,29.529871,51.253232
87,111.031665,466.606627,536.416248,506.291228
88,1.780277,0.812805,0.765413,0.598171
89,0,0,0,0
90,35.944207,48.854067,56.270693,51.495605
91,9.557036,16.003181,12.825196,17.68975
92,10.916774,6.645519,5.787601,4.43704
93,0.985219,1.10544,0.755371,1.129624
94,10.637268,11.50328,9.723472,12.201107
95,20.300993,28.740405,18.204873,27.275511
97,10.312876,14.006186,9.820975,12.357184
98,46.349371,34.70008,29.17602,42.697451
100,21.039787,8.57245,7.429093,16.491493
101,0.581802,0.561819,0.790501,0.492071
102,69.362185,46.415611,49.480631,80.635522
103,76.674776,119.816809,141.956357,136.061852
104,7.620021,26.061173,38.319747,22.810919
105,0,0,0.012968,0
107,0.118349,0.016731,0.019613,0.141022
108,0,0.051135,0.079657,0
109,10.276607,21.378684,19.157946,14.763397
111,0,0.080143,0.639781,0.267693
112,16.006962,44.078024,37.202682,27.794352
113,1.342988,3.540147,10.347022,17.059256
114,0,0,0.042862,0
115,12.036017,47.048866,25.109301,23.10066
116,0,0,0,0
117,0,0,0,0
118,70.12096,206.49669,173.647981,175.859809
119,0,0,0.025937,0.022413
120,212.599708,194.481805,130.525879,152.953151
