,CAF-62T-IgA_TPM,CAF-97T-IgA_TPM,CAF_73T_IgA_TPM,CAF_98T_IgA_TPM
1,2.659753,4.322943,4.556946,2.905716
2,2.040339,17.131506,19.442724,21.98918
3,0,0,0,0
9,13.623715,9.645475,8.899753,12.845596
10,0.326563,0,0.074954,0
12,2.972788,1.943066,5.645094,8.371826
13,2.530327,5.538316,19.404187,4.756766
14,67.558203,134.127564,95.019632,93.503644
15,0,0,0.025294,0
16,50.281213,112.814346,101.782946,102.566769
18,2.337655,4.735176,7.251977,5.791024
19,33.355347,23.476863,45.123965,29.200241
20,6.766753,26.844576,20.756072,20.871737
21,0.438669,3.743788,3.504258,2.42519
22,10.526072,8.555936,7.053922,10.626791
23,32.370724,59.864639,61.783718,56.366186
24,0.064504,0.31882,0.329098,0.382878
25,36.246285,88.295676,70.423539,55.560408
26,0,0,0,0
27,13.665763,16.386805,28.644011,27.01369
28,0,0,0,0
29,22.854137,44.808966,47.626215,43.903667
30,40.74349,63.23695,68.662424,56.470535
31,10.69613,16.071728,33.025455,38.182882
32,3.624814,2.143072,2.148095,2.161309
33,0,0,0,0
34,38.597583,23.203145,21.284482,29.585498
35,3.638606,11.080577,9.603597,6.563728
36,12.446959,8.687632,6.133187,7.934303
37,67.968884,216.579933,148.710343,155.488392
38,133.98863,82.530672,76.792808,104.726233
39,89.164725,67.688889,284.958761,324.737087
40,0,0.052056,0.017208,0.023719
41,3.756459,5.376181,1.530053,3.128265
43,0.280109,0.232125,1.751488,0.253603
47,51.159345,166.572855,490.946158,355.456166
48,32.776411,36.227972,49.668972,72.994667
49,0,0,0,0
50,42.292311,86.257499,66.163926,75.34692
51,10.497859,12.082739,14.203152,12.413834
52,112.203472,79.66247,103.535734,102.916705
53,21.330767,52.747135,43.57224,33.53988
54,14.166217,12.236529,5.225223,4.869616
55,0,0,0.071298,0.071976
56,0.076373,0,0,0.111147
58,0,0.236621,0,0
59,291.184152,2096.405904,327.1081,741.649469
60,1007.058716,5788.772461,2548.769287,2410.069824
62,0.083429,0.091715,0.052426,0.077542
64,0,0.002721,0.178866,0.003411
67,0.006139,0.034077,0.486946,0.069687
68,0,0.000857,0,0
69,0,0.005345,0,0.016927
70,0,0.218319,0.553124,0
71,798.819829,2924.148663,1606.828284,1577.421632
72,1.19603,14.535753,1.252426,7.031071
73,0.163879,0.281166,0.006545,0.108149
75,1.03499,0.229647,0.223971,0.429498
81,95.916413,475.153849,273.251289,303.63073
82,0,0,0,0
83,0,0,0,0.001919
86,38.914127,40.55027,37.710133,53.478307
87,111.32606,434.222374,430.526434,437.484866
88,1.865849,1.015692,0.567817,0.728777
89,0,0.104202,0,0.041352
90,36.407078,47.30994,59.281413,50.691745
91,8.8154,15.865633,14.119732,16.930042
92,11.537079,5.602608,4.502502,4.370702
93,1.032412,0.797595,0.782984,1.433473
94,9.836581,12.903638,9.637426,10.774447
95,18.360502,32.864149,27.21977,25.476501
97,10.089167,10.165848,12.316579,12.496714
98,46.801708,31.872379,38.197849,42.51726
100,18.493847,8.864335,7.206035,16.271956
101,0.697205,0.422405,0.139876,0.383549
102,69.076474,32.96156,42.407424,73.839288
103,75.49141,111.659322,136.060768,101.363637
104,7.904765,23.947891,15.112685,21.539421
105,0,0,0.02657,0
107,0.120043,0.032036,0.223632,0.172356
108,0,0.036937,0.167413,0
109,10.184849,22.839241,19.004426,13.265613
111,0.047107,0.114002,0.348752,0.268897
112,14.537116,41.345361,27.047361,25.227892
113,1.222432,4.192707,7.992832,12.875833
114,0.054286,0,0,0
115,11.980687,43.944829,32.828698,20.452228
116,0,0,0,0.07204
117,0,0,0,0.009498
118,73.359239,200.574351,164.298038,154.002075
119,0,0,0,0.017221
120,224.414989,151.245032,128.046387,168.434105
123,163.611494,527.146649,151.55668,124.486228
124,21.243759,5.585346,0,1.655391
125,287.43449,49.500715,0.392154,14.143877
126,10.843891,2.745737,0.453051,1.140478
127,0.034363,0,0,0
128,347.152893,203.488617,208.493591,254.32251
130,0.060043,0.100212,0.135963,0.580948
131,0,0,0,0
132,52.403901,49.874967,48.955928,44.914158
133,242.927872,99.71196,92.795853,70.078812
